# brass holder with empty powder container 
#  temperature (K) 	 M/H spline 0.1T (emu) 	 M/H spline 5T (emu)
1.188418841884188382e+01	3.223052227036456771e-10	2.411191085706283408e-10
1.191899189918991731e+01	3.246052364407315437e-10	2.432038587570047178e-10
1.195379537953795257e+01	3.268882917488166464e-10	2.452771956861277790e-10
1.198859885988598784e+01	3.291544703137846621e-10	2.473392315459324037e-10
1.202340234023402310e+01	3.314038538215197845e-10	2.493900785243537299e-10
1.205820582058205659e+01	3.336365239579054322e-10	2.514298488093264303e-10
1.209300930093009185e+01	3.358525624088257989e-10	2.534586545887860563e-10
1.212781278127812712e+01	3.380520508601648200e-10	2.554766080506672806e-10
1.216261626162616238e+01	3.402350709978062757e-10	2.574838213829053446e-10
1.219741974197419587e+01	3.424017045076340498e-10	2.594804067734350760e-10
1.223222322232223114e+01	3.445520330755320776e-10	2.614664764101918195e-10
1.226702670267026640e+01	3.466861383873841910e-10	2.634421424811104029e-10
1.230183018301830167e+01	3.488041021290742737e-10	2.654075171741259641e-10
1.233663366336633516e+01	3.509060059864862094e-10	2.673627126771733308e-10
1.237143714371437042e+01	3.529919316455040368e-10	2.693078411781877961e-10
1.240624062406240569e+01	3.550619607920114328e-10	2.712430148651044462e-10
1.244104410441043918e+01	3.571161751118924362e-10	2.731683459258580054e-10
1.247584758475847444e+01	3.591546562910309305e-10	2.750839465483837668e-10
1.251065106510650971e+01	3.611774860153106961e-10	2.769899289206168167e-10
1.254545454545454497e+01	3.631847459706157718e-10	2.788864052304919827e-10
1.258025802580257846e+01	3.651765178428297309e-10	2.807734876659442993e-10
1.261506150615061372e+01	3.671528833178368191e-10	2.826512884149091115e-10
1.264986498649864899e+01	3.691139240815208683e-10	2.845199196653211433e-10
1.268466846684668425e+01	3.710597218197656071e-10	2.863794936051156880e-10
1.271947194719471774e+01	3.729903582184548157e-10	2.882301224222274698e-10
1.275427542754275301e+01	3.749059149634728948e-10	2.900719183045917818e-10
1.278907890789078827e+01	3.768064737407032627e-10	2.919049934401437102e-10
1.282388238823882354e+01	3.786921162360299066e-10	2.937294600168181861e-10
1.285868586858685703e+01	3.805629241353367617e-10	2.955454302225500890e-10
1.289348934893489229e+01	3.824189791245076601e-10	2.973530162452746603e-10
1.292829282928292756e+01	3.842603628894266922e-10	2.991523302729270894e-10
1.296309630963096282e+01	3.860871571159775348e-10	3.009434844934420492e-10
1.299789978997899631e+01	3.878994434900439683e-10	3.027265910947547809e-10
1.303270327032703157e+01	3.896973036975102898e-10	3.045017622648003708e-10
1.306750675067506684e+01	3.914808194242600729e-10	3.062691101915137500e-10
1.310231023102310211e+01	3.932500723561772011e-10	3.080287470628300564e-10
1.313711371137113559e+01	3.950051441791456616e-10	3.097807850666842212e-10
