# Temperature (K), 	 Pt100 Resistance (Ohm)
8.441204833984380684e+01	2.281636047363279829e+01
8.566979980468750000e+01	2.335625053405760099e+01
8.694704818725590201e+01	2.390588951110839844e+01
8.824840164184570312e+01	2.446381187438959870e+01
8.956739807128910513e+01	2.502908699035640083e+01
9.090485000610350141e+01	2.560433387756350143e+01
9.226070022583010655e+01	2.618696975708009944e+01
9.363920211791989345e+01	2.677866363525389914e+01
9.503649902343750000e+01	2.737519233703610055e+01
9.645285034179690342e+01	2.798604774475100143e+01
9.789670181274409799e+01	2.860672004699710058e+01
9.935575103759769888e+01	2.923264884948730113e+01
1.008390998840330042e+02	2.986536598205569959e+01
1.023456001281739987e+02	3.050885200500490058e+01
1.038738021850590059e+02	3.115687736511230099e+01
1.054244499206539984e+02	3.181859970092769885e+01
1.069986495971679972e+02	3.248930358886720171e+01
1.085955505371090055e+02	3.316254806518549714e+01
1.102179489135740056e+02	3.385351943969730115e+01
1.118626480102540057e+02	3.455547714233399859e+01
1.135326995849609943e+02	3.526213836669919743e+01
1.152273521423339986e+02	3.597772598266600141e+01
1.169477005004879970e+02	3.670674880981449917e+01
1.186950988769529971e+02	3.744436645507809658e+01
1.204664993286129970e+02	3.819047180175780198e+01
1.222643508911129970e+02	3.895352172851559658e+01
1.240905494689939985e+02	3.971989822387700286e+01
1.259427490234379974e+02	4.049979019165039773e+01
1.278216018676759944e+02	4.128746032714840197e+01
1.297320480346679972e+02	4.209283828735350141e+01
1.316682968139649859e+02	4.290453720092769885e+01
1.336339950561520027e+02	4.372608215332029857e+01
1.356301498413089917e+02	4.455657226562500028e+01
1.376546554565429972e+02	4.540368652343750000e+01
1.397077484130859943e+02	4.625434494018549714e+01
1.417959442138669885e+02	4.712722366333009916e+01
1.439130477905270027e+02	4.800240280151370342e+01
1.460621948242190058e+02	4.889615631103519888e+01
1.482417984008789915e+02	4.979937362670899859e+01
1.504565505981449860e+02	5.071292739868160027e+01
1.527025451660159945e+02	5.164177703857419743e+01
1.549804534912109943e+02	5.258465576171879974e+01
1.572941970825199860e+02	5.353754806518549714e+01
1.596437454223629970e+02	5.450825500488279829e+01
1.620236434936520027e+02	5.548625564575200286e+01
1.644464492797850141e+02	5.647937011718750000e+01
1.669015045166019888e+02	5.748685455322269888e+01
1.693924484252929972e+02	5.850601165771480083e+01
1.719210510253909945e+02	5.954272460937500000e+01
1.744881057739260086e+02	6.059075698852539915e+01
1.770932464599609943e+02	6.164727783203129974e+01
1.797374954223629970e+02	6.272723007202149859e+01
1.824216995239260086e+02	6.381769393920900058e+01
1.851450958251949999e+02	6.492716979980470171e+01
1.879084014892580115e+02	6.604598999023440342e+01
1.907142028808590055e+02	6.718315124511720171e+01
1.935612487792969887e+02	6.833678436279299717e+01
1.964511489868160083e+02	6.950925445556640625e+01
1.993834457397460085e+02	7.068865966796880684e+01
2.023618011474609943e+02	7.188819244384770002e+01
2.053828964233399859e+02	7.310247802734380684e+01
2.084492950439449999e+02	7.433290100097660513e+01
2.115615997314449999e+02	7.557607269287109375e+01
2.147201004028320028e+02	7.684287689208980510e+01
2.179236984252929972e+02	7.813153076171880684e+01
2.211768493652340055e+02	7.943037963867189433e+01
2.244795455932620030e+02	8.075504302978519888e+01
2.278335494995120030e+02	8.208493041992190342e+01
2.312342529296880116e+02	8.344290924072269888e+01
2.346855010986330115e+02	8.480909729003910513e+01
2.381913986206050140e+02	8.619862365722660513e+01
2.417472457885739914e+02	8.761102661132809999e+01
2.453559951782229973e+02	8.903729553222659376e+01
2.490183944702149859e+02	9.048348999023440342e+01
2.527369003295899859e+02	9.195077514648440342e+01
2.565104064941410229e+02	9.344879913330079546e+01
2.603404083251950283e+02	9.494272644042969489e+01
2.642321472167969887e+02	9.646692657470700283e+01
2.681733551025390057e+02	9.802541595458980339e+01
2.721775970458979828e+02	9.959772491455079546e+01
2.762368469238280113e+02	1.011812515258790057e+02
2.803647003173829830e+02	1.027861904907230013e+02
2.845491485595700283e+02	1.044233779907229973e+02
2.887989044189450283e+02	1.060750350952150001e+02
2.931080017089839771e+02	1.077372741699220029e+02
2.974859008789060226e+02	1.094395904541020030e+02
3.019248504638670170e+02	1.111470108032229973e+02
3.064337463378910229e+02	1.128740692138670028e+02
3.110065002441410229e+02	1.146240768432620030e+02
3.156552124023439774e+02	1.163862304687500000e+02
3.203638000488280113e+02	1.181809310913090059e+02
3.251529998779299717e+02	1.199813308715820028e+02
3.300000000000000000e+02	1.218487182617190001e+02
