# Temperature (K) 	 M/H in emu (multiply by field in Oe)
3.421078872680660510e+01	4.391714205125235789e-12
3.437244606018069959e+01	4.059731443419893073e-12
3.453738594055180045e+01	4.372217038650385311e-12
3.470477104187010298e+01	4.420437185333934757e-12
3.487497329711910510e+01	4.392839593846244623e-12
3.503988075256349788e+01	4.465980679614472188e-12
3.521154975891109729e+01	4.058685538578861012e-12
3.538438224792479758e+01	4.268064600732558220e-12
3.553715896606450286e+01	4.149607159791986474e-12
3.570052337646479401e+01	4.059158021014802453e-12
3.585498809814449572e+01	4.193240281773871873e-12
3.602002906799319959e+01	4.086963815911467698e-12
3.618029785156250000e+01	4.265635115637701640e-12
3.634777069091800428e+01	4.354701562910863303e-12
3.650631141662599788e+01	3.894839764153794817e-12
3.666772842407230115e+01	4.387862043733282726e-12
3.683154678344730115e+01	4.336297520752239133e-12
3.699477958679199929e+01	4.357533644581990817e-12
3.716386604309079900e+01	4.204488078281996691e-12
3.732652282714840197e+01	4.016001207751402628e-12
3.748636627197270599e+01	4.060037847748078437e-12
3.765477180480960584e+01	4.117316469248351934e-12
3.782141494750980115e+01	3.781787548185156026e-12
3.798682212829589844e+01	3.902599813668544727e-12
3.815579414367679334e+01	4.183924273102777913e-12
3.831744766235350141e+01	3.775855031770036685e-12
3.847469902038570666e+01	3.442615637269976776e-12
3.864291191101070666e+01	4.027989847863045934e-12
3.881430435180660510e+01	3.655561869520053345e-12
3.896606826782230115e+01	3.718626633225811116e-12
3.913959312438969818e+01	3.507292809482530853e-12
3.930624961853029475e+01	3.538952905678183777e-12
3.946133232116699929e+01	3.665821253828963458e-12
3.961973381042479758e+01	3.460096099315304418e-12
3.978750610351560368e+01	3.463820755088980833e-12
3.995955657958979401e+01	3.567456502640437485e-12
4.011829948425289416e+01	3.436443638349532994e-12
4.028085136413570666e+01	3.479085791326682778e-12
4.044307327270509944e+01	3.592237990881669944e-12
4.060681343078609729e+01	3.510798533781863444e-12
4.077349853515620026e+01	3.440601747783140107e-12
4.093926048278810015e+01	3.640283744601299566e-12
4.110454559326170454e+01	3.383918023140382120e-12
4.127991294860839844e+01	3.448735787835038134e-12
4.145473861694339490e+01	3.552727259042156821e-12
4.160581970214840197e+01	3.569695574238023572e-12
4.176410484313959870e+01	3.581443460551229639e-12
4.191300201416020599e+01	3.466868479443359066e-12
4.207468986511229758e+01	3.495763905292767928e-12
4.223847961425779829e+01	3.196569062215484447e-12
4.239668846130370383e+01	3.395131168273145283e-12
4.256318092346189985e+01	3.263401356351390799e-12
4.273230552673339844e+01	3.037942144847535088e-12
4.289446640014649859e+01	3.081550605237933290e-12
4.305502510070800071e+01	3.382403579238367487e-12
4.322638511657709870e+01	3.227427977498984276e-12
4.339525794982910156e+01	3.196875081328765723e-12
4.355290412902829900e+01	3.253922992019999251e-12
4.371073722839360443e+01	3.211434868106848860e-12
4.387610054016110439e+01	3.257974743190066795e-12
4.404334449768069959e+01	3.374934764291761218e-12
4.421520996093750000e+01	2.874318561693341982e-12
4.438752746582029118e+01	3.101574606034727168e-12
4.455344200134279475e+01	2.618275933517350427e-12
4.470927810668950286e+01	3.213266672407001026e-12
4.487652206420900569e+01	2.719075494413173664e-12
4.504294967651370030e+01	3.335704886978358830e-12
4.519047355651860443e+01	3.215539138187909889e-12
4.535233497619629617e+01	3.029775325240987205e-12
4.551341819763180041e+01	2.782327193783366030e-12
4.568099212646479401e+01	3.015807121204584154e-12
4.584704399108889561e+01	3.012792465976508381e-12
4.599963760375979405e+01	2.914131984660846496e-12
4.616124343872070312e+01	3.058058687552770374e-12
4.633886337280270595e+01	2.828952860970879507e-12
4.650469970703129974e+01	2.724384493987498294e-12
4.666730499267580257e+01	2.924857993875789586e-12
4.682839202880860086e+01	2.769812118659208951e-12
4.699602699279779472e+01	2.713338436099606381e-12
4.716715812683110443e+01	3.113701787355497214e-12
4.733117103576660156e+01	2.841661259103876459e-12
4.750382232666020599e+01	2.700448808805249958e-12
4.766499900817870383e+01	2.976787584318931655e-12
4.783539199829099431e+01	2.483990482742292265e-12
4.798574256896970525e+01	2.827859981289890278e-12
4.814687728881839490e+01	2.642285921531665733e-12
4.831054496765139561e+01	2.931438538239974694e-12
4.847863388061520595e+01	2.462863064865503523e-12
4.864127159118650212e+01	2.634179093749259730e-12
4.881575012207029118e+01	2.324600645381147438e-12
4.897620201110839844e+01	2.676523134695161994e-12
4.913661003112790127e+01	2.615949445746979453e-12
4.930087471008300071e+01	2.845676385160537320e-12
4.946851158142089844e+01	2.844327555711470950e-12
4.963423156738279118e+01	2.818368076753276290e-12
4.979120254516599431e+01	2.540122367046869691e-12
4.995957374572750354e+01	2.626745148635793294e-12
5.012466621398929334e+01	2.234109673363810771e-12
5.028612136840820312e+01	2.580898355803458682e-12
5.045523452758789773e+01	2.633108721744263503e-12
5.063472175598139557e+01	2.183044347385845967e-12
5.079061317443849788e+01	2.680950112031098317e-12
