#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
9.614128494262699576e+01	-1.755256430202340305e-08
9.663577270507808237e+01	-2.417436417847539949e-08
9.713313674926759234e+01	-2.440322733666329987e-08
9.763025665283198862e+01	-1.872080617771600289e-08
9.812451934814448862e+01	-1.656335939999220091e-08
9.862159347534179688e+01	1.906673348360959882e-08
9.912909698486329546e+01	-1.794238868370580267e-09
9.962539672851558237e+01	-1.497106257940960078e-08
1.001139755249020027e+02	1.262097061116959836e-08
1.006165237426759944e+02	-4.513244585521749871e-08
1.011081886291500069e+02	7.357776691567469438e-08
1.016185188293460016e+02	-3.030184151236849724e-08
1.021197738647459943e+02	4.315558947008210572e-09
1.026089401245120030e+02	1.032725091821420045e-08
1.031187934875489987e+02	-2.747375090087589498e-08
1.036222229003910087e+02	1.041468504513049999e-10
1.041095199584959943e+02	-4.501367362384980458e-09
1.046010818481450144e+02	-1.132689052327280027e-08
1.050983467102050071e+02	-1.270491659797590078e-08
1.055830764770509944e+02	6.997053956549890264e-10
1.061070938110349999e+02	1.878224636670129999e-08
1.065898895263670028e+02	-2.379465018570959877e-09
1.070885200500489987e+02	7.829122147972839652e-10
1.075798263549800140e+02	6.153383011006359918e-08
1.080790176391599999e+02	4.926769616360009809e-09
1.085831069946290057e+02	-3.676188277478420397e-08
1.090851364135740056e+02	-1.543078740870629703e-08
1.095796165466309873e+02	-1.545386260740080006e-09
1.100855255126950141e+02	4.073645638419330130e-09
1.105764427185059873e+02	-2.525405827949240201e-08
1.110829582214360016e+02	1.760416016011760319e-09
1.115907096862789984e+02	-2.351097892060180281e-08
1.120816116333009944e+02	-1.829494053916249744e-08
1.125667686462399928e+02	-1.709556081332689741e-08
1.130670089721680114e+02	-2.316742445880039975e-08
1.135464973449710016e+02	2.430886795775089700e-08
1.140581893920900001e+02	-3.878781609712089920e-09
1.145485496520999931e+02	3.441855336314789878e-09
1.150596847534180114e+02	-3.796771949944019841e-08
1.155594635009770030e+02	-1.553418374166710180e-08
1.160501327514650001e+02	-3.691975562291190099e-08
1.165479202270509944e+02	5.859645506563020074e-09
1.170598068237300140e+02	-3.528679021462700124e-08
1.175655441284180114e+02	-1.560299539575290005e-08
1.180817451477050071e+02	1.250335743947889969e-09
1.185536499023439916e+02	1.169342741661220022e-08
1.190487213134770030e+02	-7.785477147462210505e-09
1.195551681518549856e+02	-2.350721861060609677e-08
1.200325584411619957e+02	-2.039472859752900090e-08
1.205260620117189916e+02	-1.772177837908270034e-08
1.210252227783199857e+02	1.288817815648610090e-08
1.215228996276860016e+02	3.807017230209450214e-09
1.220142745971680114e+02	-4.285789228835020276e-08
1.225073471069339917e+02	1.637808107169950148e-08
1.230214576721190127e+02	-3.228793413454959861e-08
1.235183563232420028e+02	-2.257643278400279889e-08
1.240170593261720029e+02	-1.057597297486449866e-08
1.245255432128910087e+02	-1.655109808707610061e-08
1.250263938903809873e+02	-1.378407092037079892e-08
1.255203590393070101e+02	-1.278584722029440028e-08
1.260109558105470029e+02	-2.136783592670889647e-08
1.265105705261230042e+02	-2.600687502981950282e-08
1.270201835632319955e+02	6.870863855709808956e-09
1.275274887084959943e+02	-1.552801386308669916e-08
1.280164833068849930e+02	-2.578630809017779671e-08
1.285013122558590055e+02	-3.723172159631489985e-08
1.290048675537109943e+02	-2.311378054510160159e-08
1.294985198974609943e+02	-1.432615324204409953e-09
1.300035018920899859e+02	-1.521821946860160022e-08
1.304934234619140057e+02	-4.179674547963189859e-08
